id,name,year,count
63f6279cd8966ef293f0f0bf,Ardenwood,2014,23
63f6279cd8966ef293f0f0bf,Ardenwood,2015,23
63f6279cd8966ef293f0f0bf,Ardenwood,2016,28
63f6279cd8966ef293f0f0bf,Ardenwood,2017,31
63f6279cd8966ef293f0f0bf,Ardenwood,2018,22
63f6279cd8966ef293f0f0bf,Ardenwood,2019,26
63f6279cd8966ef293f0f0bf,Ardenwood,2020,26
63f6279cd8966ef293f0f0bf,Ardenwood,2021,34
63f627aad8966ef293f0f0ec,Arroyo Viejo,1989,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1990,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1991,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1992,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1993,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,1994,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1995,11
63f627aad8966ef293f0f0ec,Arroyo Viejo,1996,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,1997,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,1998,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,1999,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,2000,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2001,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,2002,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,2003,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2004,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2005,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2006,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2007,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2008,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2009,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2010,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2011,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2012,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2013,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2014,8
63f627aad8966ef293f0f0ec,Arroyo Viejo,2015,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2016,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,2017,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2018,10
63f627aad8966ef293f0f0ec,Arroyo Viejo,2019,9
63f627aad8966ef293f0f0ec,Arroyo Viejo,2020,11
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,11
63f62801d8966ef293f0f1d8,Asco - Radum,1989,7
63f62801d8966ef293f0f1d8,Asco - Radum,1990,7
63f62801d8966ef293f0f1d8,Asco - Radum,1991,6
63f62801d8966ef293f0f1d8,Asco - Radum,1992,6
63f62801d8966ef293f0f1d8,Asco - Radum,1993,6
63f62801d8966ef293f0f1d8,Asco - Radum,1994,6
63f62801d8966ef293f0f1d8,Asco - Radum,1995,7
63f62801d8966ef293f0f1d8,Asco - Radum,1996,6
63f62801d8966ef293f0f1d8,Asco - Radum,1997,6
63f62801d8966ef293f0f1d8,Asco - Radum,1998,7
63f62801d8966ef293f0f1d8,Asco - Radum,1999,8
63f62801d8966ef293f0f1d8,Asco - Radum,2000,8
63f62801d8966ef293f0f1d8,Asco - Radum,2001,7
63f62801d8966ef293f0f1d8,Asco - Radum,2002,6
63f62801d8966ef293f0f1d8,Asco - Radum,2003,7
63f62801d8966ef293f0f1d8,Asco - Radum,2004,7
